nodePartenza,NameNft,Hop,NumeroNodi,repliche,KsizeBucket,time_ms,alpha
node32,basis.markets,2,40,0,3,3,5
node1,Skeleton Crew Skulls,-1,40,0,3,0,5
node31,Flippies,3,40,0,3,4,5
node17,Meerkat Millionaires Country Club,3,40,0,3,5,5
node31,Stylish Studs,3,40,0,3,6,5
node6,I'M AIKO,2,40,0,3,3,5
node15,Crypto Idolz,3,40,0,3,4,5
node37,Megalodon Rogue Shark Tooth,3,40,0,3,5,5
node34,CorruptCatz,3,40,0,3,4,5
node26,Meta Waifus,2,40,0,3,2,5
node22,Crypto Idolz - Butts,2,40,0,3,2,5
node31,Doge Capital,3,40,0,3,4,5
node24,Hot Bunnies NFT,3,40,0,3,4,5
node32,BOSS BULLS ™ CLUB,2,40,0,3,3,5
node6,Solana Doodle Apes,2,40,0,3,2,5
node4,Crypto Idolz - Faces,3,40,0,3,4,5
node20,Psychedelic Apes,2,40,0,3,2,5
node14,169 Pixel Gang,3,40,0,3,5,5
node34,Solchicks,3,40,0,3,5,5
node13,PixTapes,3,40,0,3,4,5
node16,NEKOVERSE,3,40,0,3,4,5
node38,EITBIT APES,2,40,0,3,3,5
node32,Solagon,2,40,0,3,3,5
node23,Exiled Lomu,2,40,0,3,3,5
node37,Genesis Zombies,2,40,0,3,3,5
node31,SolanaMonkeyBusiness,2,40,0,3,3,5
node8,Sol Snipers,1,40,0,3,1,5
node21,Solameleon,2,40,0,3,3,5
node4,SOLgods,2,40,0,3,2,5
node6,SOL NFL Player's,3,40,0,3,4,5
node9,SolChan NFT,2,40,0,3,3,5
node38,The Degens,2,40,0,3,2,5
node23,SOLEX,3,40,0,3,5,5
node34,Bull Empire,2,40,0,3,2,5
node11,MyRareFrog (Solana),2,40,0,3,3,5
node10,Dope Apes,2,40,0,3,3,5
node19,WEYU,2,40,0,3,2,5
node34,Smolfishes,3,40,0,3,4,5
node18,Famous Characters,2,40,0,3,3,5
node16,WOOFers,2,40,0,3,3,5
node2,Quantum Traders,3,40,0,3,4,5
node24,Toasty Turts,1,40,0,3,1,5
node21,CoinCards (Solana),3,40,0,3,4,5
node2,Solana Mees,1,40,0,3,1,5
node1,SolSheep,-1,40,0,3,1,5
node10,Electric Blue,2,40,0,3,3,5
node12,Solana Zombie Business,3,40,0,3,4,5
node38,Astral Apes,3,40,0,3,5,5
node24,Synchrony x SolRazr IDO NFTs,1,40,0,3,1,5
node26,Mechanic Wolf,2,40,0,3,4,5
node6,Piggy Sol Gang,2,40,0,3,2,5
node3,Wild Wolves BoneYard,2,40,0,3,2,5
node3,Famous People,2,40,0,3,3,5
node33,SOLEX S2 Mystery Box,3,40,0,3,4,5
node20,ALL.ART CIRCLE,2,40,0,3,3,5
node4,MadTrooper,2,40,0,3,4,5
node34,Solana Penguins,3,40,0,3,4,5
node7,Scalp Empire,3,40,0,3,5,5
node26,Lo Sciamano,3,40,0,3,4,5
node6,BabyApes,3,40,0,3,4,5
node24,Pixel Invaderz,2,40,0,3,2,5
node31,Solana Sluts,3,40,0,3,4,5
node8,Cryptic Snakes,2,40,0,3,3,5
node10,TROLLz,2,40,0,3,2,5
node2,Degen Lizzy,3,40,0,3,5,5
node21,Celebrities,3,40,0,3,10,5
node32,We Are The Walrus - WATW,3,40,0,3,10,5
node16,Billionaire Whale Club,2,40,0,3,7,5
node36,Vox Punks Club,2,40,0,3,4,5
node17,NGen Arts,3,40,0,3,11,5
node22,Aliens VS People,2,40,0,3,5,5
node37,Crypto Astronuts,3,40,0,3,7,5
node30,KnitPunks SOL,3,40,0,3,4,5
node30,Red Panda Squad,2,40,0,3,3,5
node3,Skully Boys,2,40,0,3,5,5
node31,Faceless NFT,2,40,0,3,4,5
node28,SolBricks,3,40,0,3,6,5
node30,Exiled Wolves Bone Yard,2,40,0,3,2,5
node37,Magic Mushies,2,40,0,3,3,5
node30,Gangster Gorillas,2,40,0,3,3,5
node2,Shapes of Reality,2,40,0,3,3,5
node4,THE ONES,3,40,0,3,4,5
node14,Crypto Coves,2,40,0,3,2,5
node38,CryptoFans,3,40,0,3,5,5
node7,OG Astro Babies,2,40,0,3,2,5
node17,Candy Cane,3,40,0,3,5,5
node21,Meta Panda Squad,2,40,0,3,2,5
node7,Unirexcity,2,40,0,3,2,5
node39,Popsicle,3,40,0,3,4,5
node1,skulls.wtf #SWTF,-1,40,0,3,1,5
node17,Scoogis,2,40,0,3,2,5
node14,Aurory,2,40,0,3,3,5
node22,DazedDucks,2,40,0,3,2,5
node39,Crypto Captains,3,40,0,3,6,5
node11,Monke Babies,2,40,0,3,3,5
node40,The First 100,2,40,0,3,4,5
node14,Women's Pride,2,40,0,3,2,5
node24,The Lion Cats,2,40,0,3,3,5
node2,The Exiled Apes,2,40,0,3,3,5
node36,BitFreaks,1,40,0,3,1,5
node35,Cyber Pharmacy,3,40,0,3,5,5
node3,Baffled Bears,3,40,0,3,4,5
node1,SolSlugs,-1,40,0,3,1,5
node33,Sleepless SOLs,2,40,0,3,3,5
node36,Stranded Unicorns,2,40,0,3,2,5
node40,Aurory | Specials,3,40,0,3,4,5
node23,Solana Flip,3,40,0,3,5,5
node38,Nekoverse Lost Chest,3,40,0,3,5,5
node4,Dirtypanda,3,40,0,3,4,5
node7,Lift-off Pass,2,40,0,3,2,5
node30,Art by Keen,1,40,0,3,1,5
node29,Crypto Worms,1,40,0,3,1,5
node35,Solar Heroes,3,40,0,3,4,5
node14,Turtles,3,40,0,3,4,5
node7,SSJs,1,40,0,3,1,5
