iterazione,NFT,NFT NON TROVATI,MEDIA HOP FATTI,NFT TROVATI,MAX HOPS,NODI,BUCKETSIZE,FATTORE DI REPLICAZIONI
1,591,1,5.181356,590,15,20,4,0
2,591,1,4.928814,590,16,20,5,0
3,591,1,5.194915,590,15,20,6,0
4,591,1,4.886441,590,16,20,7,0
5,591,1,5.137288,590,15,20,8,0
6,591,1,4.903390,590,15,20,9,0
7,591,1,5.286441,590,16,20,10,0
8,591,1,5.047458,590,15,20,11,0
9,591,1,5.032203,590,15,20,12,0
10,591,1,5.106780,590,16,20,13,0
11,591,1,4.947458,590,16,20,14,0
12,591,1,5.028814,590,15,20,15,0
1,591,444,1.612245,147,4,20,4,0
2,591,341,2.300000,250,6,20,5,0
3,591,293,2.751678,298,8,20,6,0
4,591,290,2.956811,301,8,20,7,0
5,591,156,3.409195,435,10,20,8,0
6,591,194,3.362720,397,9,20,9,0
7,591,209,3.243455,382,9,20,10,0
8,591,0,4.954315,591,15,20,11,0
9,591,0,5.137056,591,12,20,12,0
10,591,0,4.906937,591,12,20,13,0
11,591,0,5.204738,591,12,20,14,0
12,591,0,5.223350,591,12,20,15,0
